service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
UTEIS,1,1,1,1,1,0,0,20250422,20251231
SAB,0,0,0,0,0,1,0,20250422,20251231
DOM,0,0,0,0,0,0,1,20250422,20251231
UTEISFE,1,1,1,1,1,0,0,20250411,20250421
SABFE,0,0,0,0,0,1,0,20250411,20250421
DOMFE,0,0,0,0,0,0,1,20250411,20250421
ELECUTEIS,1,1,1,1,1,0,0,20221226,20251231
ELECSAB,0,0,0,0,0,1,0,20221226,20251231
ELECDOM,0,0,0,0,0,0,1,20221226,20251231
