stop_id,stop_name,stop_lat,stop_lon,zone_id
prg:aro:163,"Quintela",40.890869137060406,-8.3270541143845,anda:ARC14
prg:aro:164,"Bouça",40.92103150653061,-8.363187162831498,anda:ARC15
prg:aro:165,"Moldes (Igreja)",40.91470864377633,-8.235418355431058,anda:ARC4
prg:aro:166,"Provisende de Baixo",40.89206336203198,-8.311114137901894,anda:ARC6
prg:aro:167,"Bouça 3",40.89356589882537,-8.33397777984696,anda:ARC14
prg:aro:168,"Quintela",40.96659515538199,-8.161546642350398,anda:ARC9
prg:aro:169,"Vér (Cruzeiro)",40.94716483112824,-8.398067268676893,anda:ARC20
prg:aro:17,"Jugueiros",40.915472464846104,-8.275013986652178,anda:ARC1
prg:aro:170,"Gamarão",40.95366645215489,-8.232967639609313,anda:ARC2
prg:aro:171,"Caçus",40.915925761476196,-8.39183714369021,anda:ARC19
prg:aro:172,"Canelas (Escola)",40.9711120494633,-8.202714688860953,anda:ARC2
prg:aro:173,"Merujal",40.876395492606584,-8.299810625304367,anda:ARC13
prg:aro:174,"Portelada",40.96536661871067,-8.394008016539516,anda:ARC20
prg:aro:175,"Fermêdo (Cruz. Estrada de Resumil)",40.952198900821564,-8.42676506427232,anda:ARC20
prg:aro:176,"Moldes (Ponte de Telhe)",40.91180190289709,-8.18760483647692,anda:ARC4
prg:aro:177,"Canelas (Escola)",40.97103929378215,-8.202860147713812,anda:ARC2
prg:aro:178,"Vér (Capela)",40.94982543557712,-8.396301846786992,anda:ARC20
prg:aro:179,"Arouca (Cabreira)",40.931854333332495,-8.238114535804897,anda:ARC1
prg:aro:18,"Quinta do Cerrado",40.918217449819196,-8.254102854539148,anda:ARC1
prg:aro:180,"Miudal",40.961231557464544,-8.158653307840472,anda:ARC9
prg:aro:181,"Mizarela",40.86459810642342,-8.284647215311733,anda:ARC13
prg:aro:182,"Belece 1",40.9664931127658,-8.400932630149184,anda:ARC20
prg:aro:183,"R. da Liberdade",40.942998921417896,-8.359069692587532,anda:ARC15
prg:aro:184,"Arouca (Zona Industrial -Norte)",40.924903585292434,-8.243214975480992,anda:ARC1
prg:aro:185,"Jugueiros",40.91553943432028,-8.27481541787906,anda:ARC1
prg:aro:186,"Mansores (R. N.ª Sr.ª do Rosário)",40.93255576518105,-8.366116704342085,anda:ARC15
prg:aro:187,"Fermêdo (Cruz. Estrada de Resumil)",40.95223351494296,-8.426626405911344,anda:ARC20
prg:aro:188,"Quintela",40.89093254878401,-8.326971673623024,anda:ARC14
prg:aro:189,"Alvarenga (Boavista)",40.96797026514833,-8.153852714665582,anda:ARC9
prg:aro:19,"Parameira 2",40.963292109478814,-8.405765548171184,anda:ARC20
prg:aro:190,"Vér (Cruzeiro)",40.947155247776074,-8.397963641968309,anda:ARC20
prg:aro:191,"Senras (Rossas)",40.916033759190576,-8.315073867702669,anda:ARC7
prg:aro:192,"Portelada",40.965106638020366,-8.39343094377159,anda:ARC20
prg:aro:193,"Escariz (Cruz. Junta de Freguesia)",40.94311730307801,-8.40848040579493,anda:ARC19
prg:aro:194,"Escariz (R. Central)",40.94237940398609,-8.416034733238941,anda:ARC19
prg:aro:195,"Alto das Agras",40.941713511881694,-8.36240806500695,anda:ARC15
prg:aro:196,"Soutelo",40.913693200867314,-8.363147212752423,anda:ARC15
prg:aro:197,"Provisende 1",40.89251026187656,-8.31594328862854,anda:ARC6
prg:aro:198,"Moldes (Cela)",40.919583226873314,-8.198137790445262,anda:ARC4
prg:aro:199,"1º de Maio",40.916859099700595,-8.361367779401972,anda:ARC15
prg:aro:2,"Chave (Figueira)",40.90346871033773,-8.354923285234939,anda:ARC14
prg:aro:20,"Farrapa 2",40.894015814910155,-8.352823355773275,anda:ARC14
prg:aro:200,"Santa Marinha",40.93022779583128,-8.300613949227365,anda:ARC7
prg:aro:201,"Noninha",40.98844108053339,-8.10759088823388,anda:ARC17
prg:aro:202,"Farrapa 4",40.89635583925975,-8.35631989217967,anda:ARC14
prg:aro:203,"Cruzeiro",40.9287546003346,-8.291056382773013,anda:ARC7
prg:aro:204,"Noninha",40.98837593276602,-8.107607179546905,anda:ARC17
prg:aro:205,"Moldes (Vila Nova do Pisco)",40.90830961386444,-8.186181819469539,anda:ARC4
prg:aro:206,"Gestosa",40.932509357348195,-8.399413099065226,anda:ARC19
prg:aro:207,"Barreiros",40.92075153829954,-8.274106309958706,anda:ARC1
prg:aro:208,"Belece 1",40.966490650268035,-8.401051486290907,anda:ARC20
prg:aro:209,"Tropeço (Carvalhal)",40.93713804111347,-8.335472884998811,anda:ARC15
prg:aro:21,"Mansores (Zona Industrial da Mata)",40.93414636454955,-8.362159646283109,anda:ARC15
